check,SUBJECT,type,online (fall),hybrid (fall),in-person (fall),online (spring),hybrid (spring),in-person (spring),trinity/pratt,major/minor/cert/none,BS/BA/both,ROTC,language,NOTES,Additional Notes
o,Air Force ROTC:,department,0,4,0,0,0,4,,,,1,0,,interesting phenomenon across ROTC 
x,African & African American Studies:,department,17,3,0,32,4,2,t,major,BA,0,0,check to see independent studies werent counted,
o,Art History:,"Art History, Visual Arts, VMS",7,4,0,14,3,0,t,major,BA,0,0,"crosslisted: (FALL) - visual culture of venice, ancient mind, troy, history of art markets, african american arts, virtual museums, reading maps (SPRING) - archaeology of death, seven wonders, gothic cathedrals, science fiction film, art in renaissance italy, visualizing citiesart of the pleasure quarters, artists writing as philosophy, honors thesis workshop",
o,Visual Arts:,"Art History, Visual Arts, VMS",2,12,5,12,11,8,t,major,BA,0,0,"crosslisted: (FALL) - intro to b/w photog, intro to digital photog, experimental drawing, experimental interface design, medicine and the vision, digital imaging, digital documentary photography, documentary photography, costume design, color photography, cinematorgraphy, writing the short film, virtual museums, film animation, sound for film and video, 16mm, arts and the anthroposcene, art collab, advanced visual practice (SPRING) - intro to b/w photog, intro to digital photog, experimental sculpture, experimental interface design, the silent film, 3d modeling, intermediate sculpture, experimental filmmaking, small town USA, scene design, interactive graphics, cinematography, the photobook, arts entrepreneurship, writing the short film, photo workshop, film animation, producting docu-fiction, 16mm, recycled cinema, art in the anthroposcene, narrative projects, honors thesis workshop","counted the same class offered in two modes as 1 hybrid (different profs, different times)"
o,VMS:,"Art History, Visual Arts, VMS",32,18,2,56,10,6,t,major,BA,0,0,"crosslisted: (FALL) - VISUAL CULTURE OF VENICE, 
LATIN AMERICAN CINEMA, Traditions in Documentary Studies, The Documentary Experience: A Video Approach, Introduction to Black and White Photography, Experimental Drawing: Image and Bit Play, TELEVISION STUDIES, Experimental Interface Design, Medicine and the Vision of Documentary Photography, Introduction to Performance Studies, Digital Imaging, Digital Documentary Photography: Education, Childhood, and Growth, Digital Documentary Photography: Education, Childhood, and Growth, Games and Culture: Gateway to the Study of Games, Documentary Photography and the Southern Culture Landscape, Sociology through Photography, Ready for Prime Time: Writing the Dramatic TV Episode, Color Photography: Fieldwork and Digital Color, Indian Cinema, Religion in American Life, Global Chinese Cities through Literature and Film, Drama of Greece and Rome, History of Art Markets, Spies Like Us: Screening Cold War Espionage, Cinematography, Moving Image Practice, History of Documentary Film, Media History: Old and New, Film Genres, Film Animation Production, Video Journalism, Environmental Issues & the Documentary Arts, Writing Movies and Plays: Adaptation, Social Movements and Social Media, Optics and Photonics, Virtual Museums: Theories and Methods of Twenty-First-Century Museums, Acting For the Camera, Writing the Short Film, Sound for Film and Video, Dance for the Camera, Visual Cultures of Medicine, American Dreams, American Movies, Editing for Film and Video, Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen, 16mm Film Production, Artists in Healthcare: Collaborations and Complexities, CHINA AS WORLD PICTURE, ARTS AND THE ANTHROPOCENE, READING MAPS: PAST AND PRESENT, BLACKNESS IN PERFORMANCE, Advanced Visual Practice
(SPRING) - ",
o,Asian & Middle Eastern Studies:,Asian & Middle Eastern Studies,28,7,0,30,6,1,t,major,BA,0,0,"crosslisted: (FALL) - JEWS, CONVERTS, AND APOSTATES, Self, Society and Art in Modern Hinduism, History and Culture of Iran, The Modern Middle East, History of Chinese Medicine, Introduction to Israeli Culture, Indian Cinema, Indian Civilization, The World of Japanese Pop Culture, Ancient and Early Modern Japan, Documenting the Middle East: Community and Oral History, Silk Roads and China, Ancient and Medieval Transformations, Geopolitics and Culture: Islamic States from the Ottomans to ISIS, From Al-Qaeda to ISIS: Understanding Terrorism, its Roots, Responses, and Ramifications, Global Chinese Cities through Literature and Film, Games and Culture: Gateway to the Study of Games, T'ai Chi and Chinese Thought, Four Funerals and a Wedding: Introduction to Chinese Religious Life, Voices in the Environment: Mandarin, Chinese Philosophy, Buddhism and Sexuality, Religion and Politics in Post-Revolutionary Iran, ASIAN AM GENDER & SEXUALITY, Religion, Restrictions, and Violence, Martin Luther King and the Prophetic Tradition, Social Movements and Social Media, Chinatowns: A Cultural History, Two Koreas: History, Society and Culture, Islamic Mysticism, CHINA AS WORLD PICTURE, Chinese Media and Popular Culture: Politics, Ideology, and Social Change, Capstone Seminar - Globalization: Asia and Asian America (SPRING) - Buddhism, Islamic Civilization I, Understanding the Qur'an, China from Antiquity to 1400, History of Chinese Medicine, Anime: Origins, Forms, Mutations, The Emergence of Modern Japan, Asian American Theatre, Gateway Seminar: Civil Rights and Asian Americans, 
KOREAN POPULAR MUSIC (K-POP), Arab Cultures: Literature, Politics, History, Muhammad: The Prophet of Islam, Dance and Dance Theater of Asia, Religion and the Novel in Modern India, The Transnational Realities of an Ancient Tradition, Spiritual But Not Religious, Voices in Global Health: Mandarin Tutorial, Introduction to Asian American and Diaspora Studies, Istanbul: Religion, Politics and Cosmopolitanism, Special Topics in Asian and Middle Eastern Studies, Turkish History through the Novels of Orhan Pamuk, Africa and Arabia: Cultures, Communities, and Connections, Acquisition of Japanese as a Second Language, Social Movements and Social Media, Muslim Philosophy and Theology, an introduction, Islamic Media, Hinduism and Judaism: Culture, Religion, and Identity, Modern & Global India, Violent Jihad in the Twentieth Century - A Global History, Tibetan Buddhism: Culture, Ethics, Philosophy and Practice, Global South Asia: History and Culture of Diaspora, 
THE HISTORY OF ZIONISM, France-Asia: Cultural Transfers and Translations in a Globalized Context, Storyworlds: The Art, Technology, and Pleasure of Narrative, Chinese Culture and Ideology in the 20th Century and Now",how should we consider tutorials?
o,Biology:,department,0,6,9,26,18,4,t,major,both,0,0,,
o,Biomedical Engineering:,department,0,11,0,2,9,6,p,major,BSE,0,0,,counted labs with classes
o,Lat. Am. & Caribbean Studies:,,6,1,0,3,0,0,t,certificate,,0,0,"crosslisted: (FALL) - LATIN AMERICAN CINEMA, Introduction to Contemporary Latin America, Environment and Global Capitalism in Latin America, Social Movements and Social Media, Global Brazil, Displacements: Migration and Human Trafficking, LATIN AMERICAN FILM 1985-2020 (SPRING) - Environment and Global Capitalism in Latin America, Mexico Since Before Cortes, Social Movements and Social Media",
o,Chemistry:,department,4,5,0,4,4,5,t,major,both,0,0,,
